inspected_commit,inspected_date,path_or_pattern,category,claimed_source,copyright_owner_if_known,license_or_permission,redistribution_status,included_in_git,included_in_sdist,included_in_wheel,included_in_windows_executable,included_in_release_assets,evidence_reference,human_action_required
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,src/diptrace_mcp/**,project source,repository source tree,project contributors; see LICENSE,Apache-2.0 claimed for project-authored content; third-party code not vendored,engineering review required,yes,yes,yes,partial,yes,LICENSE; pyproject.toml; docs/releases/v0.1.2.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,skills/**,packaged skills,repository source tree,project contributors; see LICENSE,Apache-2.0 claimed for project-authored content,engineering review required,yes,yes,yes,no,yes,LICENSE; scripts/hatch_build.py; tests/test_skill_packages.py,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,scripts/**; tests/*.py; benchmarks/**,project tooling and tests,repository source tree,project contributors; see LICENSE,Apache-2.0 claimed for project-authored content,engineering review required,yes,yes,no,no,partial,LICENSE; scripts/release_artifact_allowlist.txt,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,tests/fixtures/*.xml; tests/fixtures/*.json; tests/fixtures/diptrace_5_3/power_multilayer/**,synthetic fixtures,MCP-generated or project-authored synthetic data,project contributors,synthetic fixture manifest states redistribution permitted,synthetic/project-authored; not DipTrace compatibility evidence,yes,yes,no,no,partial,fixture README and manifest.pending.json,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,tests/fixtures/acceptance/**,protected acceptance tree,operator-supplied evidence workflow,not asserted,real-fixture redistribution permission required before promotion,only schemas/readme are public; no accepted design bytes,yes,no,no,no,no,tests/fixtures/diptrace_5_3/README.md; docs/EVIDENCE_CAPTURE.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,docs/** excluding external reference extracts and removed drafts,project documentation,repository source tree,project contributors; see LICENSE,Apache-2.0 claimed for project-authored content,engineering review required,yes,yes,no,partial,partial,LICENSE; docs/LICENSE_DECISION.md; docs/RELEASE_PROCESS.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,reference/diptrace-xml/REFERENCE.md; reference/diptrace-xml/SKILL.md,project reference guidance,repository source tree,project contributors; see LICENSE,Apache-2.0 claimed for project-authored guidance only,external-source boundary documented,yes,yes,no,no,partial,reference/diptrace-xml/REFERENCE.md; docs/REFERENCE_MATERIALS_AUDIT.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,reference/diptrace-xml/extracted_text/**,external documentation extract,DipTrace public-document extracts,rights holder and license not verified,permission/redistribution basis unresolved; not Apache-2.0 by assumption,excluded from future archives and release assets,yes,no,no,no,no,docs/REFERENCE_MATERIALS_AUDIT.md; docs/compliance/DIPTRACE_MATERIALS_STATUS.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,reference/diptrace-xml/spec_inventory.json,generated external-document inventory,generated from extracted DipTrace text,rights holder and license not verified,derivative redistribution basis unresolved; not Apache-2.0 by assumption,excluded from future archives and release assets,yes,no,no,no,no,docs/REFERENCE_MATERIALS_AUDIT.md; scripts/extract_spec_inventory.py,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,reference/diptrace-xml/sources/*.pdf,operator source PDFs,legitimately obtained DipTrace documents,rights holder and license not verified,local-only source inputs; intentionally ignored and not packaged,not tracked,no,no,no,no,no,.gitignore; reference/diptrace-xml/REFERENCE.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,docs/announcements/v0.1.2-forum-*.md,removed private publication drafts,repository-owner working material,repository owner,not retained in public Git,removed from current tree; historical release bytes are not regenerated,no,no,no,no,no,historical docs/releases/v0.1.2.md,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,v0.1.2 Python wheel and sdist,public release assets,source tree and exact-head CI artifact,project contributors,project license plus dependency review required,public historical assets; future archive policy is governed by current allowlist,no,no,no,no,yes,docs/releases/v0.1.2.md; SHA256SUMS.txt,yes
e57422e545c6b94aefe52c044c64d72a74a8c373,2026-08-02,v0.1.2 Windows bridge and plugin ZIP,public release assets,exact-head CI Windows artifact and repository plugin sources,project contributors,project license claimed for project code; bundled dependencies/native libraries require review,public historical assets are unsigned and require per-build bundle review,no,no,no,yes,yes,docs/releases/v0.1.2.md; docs/SIGNING.md,yes
